Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9
"Батончик молоч-шоколад-арахiс 38г Рошен",1,1,1,11111111111111,,0,0,0
"Шоколад LACMI з лiсовим горiхом 276г",1,1,1,11111111111111,,0,0,0
"Батон Рошен з начинкою темний шоколад 43",1,1,1,11111111111111,,0,0,0
"Шок. Рошен Lacmi молочний з вафлею з как",1,1,1,11111111111111,,0,0,0
"Батон "Roshen" мол-шок з карам.нач. 40г",1,1,1,11111111111111,,0,0,0
